               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031998,            0.012295,            0.019204,             0.68856,             0.85163,             0.77804,             0.52009,            0.031181,           0.0096666,            0.016329,            0.070375,           0.0032917,           0.0032917
                   1,            0.035463,             0.01183,            0.021806,             0.51883,             0.79786,             0.62358,             0.39687,            0.033328,            0.010206,            0.028812,            0.040342,           0.0065922,           0.0065922
                   2,             0.03881,            0.012888,            0.022768,             0.48181,             0.83138,             0.62585,             0.36948,            0.035853,              0.0101,            0.027144,            0.010276,           0.0098597,           0.0098597
                   3,            0.040889,            0.012627,            0.023898,              0.5325,             0.85237,             0.68208,             0.39033,            0.036209,            0.010615,            0.025622,           0.0098515,           0.0098515,           0.0098515
                   4,             0.03982,            0.013124,            0.024518,             0.56098,             0.82043,             0.68533,             0.37062,            0.036575,           0.0099043,            0.021282,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042379,            0.013803,            0.024055,             0.64076,             0.81752,             0.75579,             0.42304,            0.038821,            0.010511,             0.02136,            0.009802,            0.009802,            0.009802
                   6,            0.041363,            0.013343,            0.022644,             0.61948,             0.83373,             0.71097,             0.29506,            0.043964,            0.010076,            0.020731,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040931,            0.012685,            0.024594,             0.55414,             0.84687,              0.7197,             0.42357,            0.035108,            0.011243,            0.022633,            0.009703,            0.009703,            0.009703
                   8,            0.040593,            0.012992,            0.023746,             0.59941,             0.80568,             0.73197,             0.42298,            0.036434,            0.010342,            0.021373,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040927,            0.012715,              0.0229,              0.6439,             0.85008,             0.75429,             0.46337,            0.034312,           0.0098662,            0.019725,            0.009604,            0.009604,            0.009604
                  10,            0.039281,            0.013038,            0.024437,             0.61012,             0.86006,             0.71297,              0.4209,             0.03655,            0.011835,            0.020857,           0.0095545,           0.0095545,           0.0095545
                  11,            0.040521,            0.012838,            0.022518,             0.64292,              0.8242,             0.75159,             0.42998,            0.036745,            0.010026,            0.019457,            0.009505,            0.009505,            0.009505
                  12,            0.040444,            0.012551,            0.022992,              0.6423,             0.82523,              0.7382,             0.44828,            0.034169,            0.010339,            0.019756,           0.0094555,           0.0094555,           0.0094555
                  13,            0.036658,            0.012191,            0.024219,             0.63963,             0.84327,             0.73746,             0.42995,            0.036121,           0.0099912,            0.019789,            0.009406,            0.009406,            0.009406
                  14,            0.036881,            0.013237,            0.022006,             0.64624,             0.81193,             0.72485,             0.33246,            0.046816,            0.012445,            0.021862,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040481,            0.013177,            0.021516,             0.65952,             0.83492,             0.73728,             0.41151,            0.036791,           0.0097067,             0.01974,            0.009307,            0.009307,            0.009307
                  16,            0.038744,             0.01224,            0.022856,             0.60801,             0.74475,             0.68187,             0.39742,            0.036217,            0.010169,            0.021608,           0.0092575,           0.0092575,           0.0092575
                  17,            0.038504,            0.013056,            0.022825,             0.56265,             0.81551,             0.68866,             0.39475,            0.036486,           0.0098907,            0.022559,            0.009208,            0.009208,            0.009208
