               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043418,            0.016826,            0.033533,             0.27754,              0.8521,             0.35502,             0.19555,            0.040318,            0.012793,            0.034237,            0.070375,           0.0032917,           0.0032917
                   1,            0.046724,            0.015614,            0.033856,             0.26086,             0.86058,             0.32542,             0.15591,            0.044963,            0.012866,            0.034262,            0.040156,           0.0064064,           0.0064064
                   2,            0.052222,            0.016334,            0.033505,             0.23822,             0.78828,             0.28365,            0.085935,            0.058344,            0.013068,            0.034261,           0.0097178,           0.0093011,           0.0093011
                   3,            0.053415,            0.016757,             0.03412,              0.2588,             0.85401,             0.30964,              0.1387,            0.048579,            0.018999,            0.034271,             0.00901,             0.00901,             0.00901
                   4,            0.053872,             0.01639,            0.033712,             0.24006,             0.79336,             0.30158,              0.1271,            0.049665,            0.013552,            0.034266,             0.00901,             0.00901,             0.00901
                   5,             0.05277,            0.018425,            0.033481,              0.2557,             0.82142,             0.33005,             0.14879,            0.044443,            0.013752,            0.034313,             0.00868,             0.00868,             0.00868
                   6,            0.050064,            0.017016,            0.033352,             0.26378,             0.77383,             0.33489,             0.12891,            0.049977,            0.012581,            0.034124,             0.00835,             0.00835,             0.00835
                   7,            0.050402,            0.015831,            0.033784,             0.28946,             0.79583,              0.3708,             0.16955,            0.044325,            0.012843,             0.03413,             0.00802,             0.00802,             0.00802
                   8,            0.047733,            0.016076,             0.03307,             0.31307,             0.80824,              0.4023,             0.21626,            0.041752,            0.014304,            0.034062,             0.00769,             0.00769,             0.00769
                   9,            0.047875,            0.015719,             0.03429,             0.29183,             0.83769,             0.37435,             0.17922,            0.045725,            0.012584,            0.033957,             0.00736,             0.00736,             0.00736
                  10,            0.047629,            0.015969,             0.03315,             0.29145,             0.83618,             0.37867,             0.19044,            0.043218,            0.018775,            0.033925,             0.00703,             0.00703,             0.00703
                  11,            0.046902,             0.01553,            0.034079,             0.34489,             0.72915,              0.4255,              0.2326,            0.042513,            0.012282,            0.033688,              0.0067,              0.0067,              0.0067
                  12,            0.046914,            0.015365,            0.034303,             0.35817,             0.75087,             0.45803,             0.25552,            0.039282,            0.013555,            0.033574,             0.00637,             0.00637,             0.00637
                  13,            0.044035,            0.014872,            0.033459,             0.44485,             0.75279,             0.49114,             0.24704,            0.043243,            0.011882,            0.033374,             0.00604,             0.00604,             0.00604
                  14,            0.042493,            0.016065,            0.033676,             0.40006,             0.70483,             0.46162,             0.24032,            0.038732,            0.011869,            0.033398,             0.00571,             0.00571,             0.00571
                  15,            0.043079,            0.015905,            0.033229,             0.47214,             0.77909,             0.50734,             0.27669,            0.038913,            0.011873,            0.033051,             0.00538,             0.00538,             0.00538
                  16,             0.04237,            0.014532,            0.033179,             0.49043,             0.76601,             0.50703,             0.27676,            0.039392,            0.012392,             0.03286,             0.00505,             0.00505,             0.00505
                  17,            0.042229,            0.015205,            0.033293,             0.42993,             0.81715,             0.50883,              0.2721,            0.038472,             0.01141,            0.032753,             0.00472,             0.00472,             0.00472
                  18,            0.041756,            0.014419,            0.032665,             0.44033,              0.8177,             0.52069,             0.27985,              0.0378,            0.011744,            0.032524,             0.00439,             0.00439,             0.00439
                  19,            0.041723,            0.014289,            0.033246,             0.45846,             0.78472,             0.53194,             0.29095,            0.036882,            0.011294,             0.03238,             0.00406,             0.00406,             0.00406
                  20,            0.040423,             0.01368,            0.032504,             0.49411,             0.82941,             0.54783,             0.31305,            0.037563,            0.011654,            0.032191,             0.00373,             0.00373,             0.00373
                  21,             0.03901,            0.014493,            0.032393,             0.46834,             0.84296,             0.54662,             0.31008,            0.036783,            0.011727,            0.031958,              0.0034,              0.0034,              0.0034
                  22,            0.039845,            0.014465,            0.032037,             0.45621,             0.80448,             0.53853,             0.30915,            0.035122,            0.011332,            0.031798,             0.00307,             0.00307,             0.00307
                  23,            0.038702,            0.014326,            0.032529,             0.45587,             0.81277,             0.54301,             0.31263,            0.035525,            0.011485,            0.031711,             0.00274,             0.00274,             0.00274
                  24,            0.038941,             0.01453,            0.032039,             0.49157,             0.81074,             0.56554,             0.32776,            0.035573,             0.01143,            0.031588,             0.00241,             0.00241,             0.00241
                  25,            0.038181,             0.01417,            0.032179,             0.44179,             0.84099,             0.55081,             0.32171,            0.034741,            0.010925,            0.031709,             0.00208,             0.00208,             0.00208
                  26,            0.039551,             0.01363,             0.03279,             0.46712,              0.8265,             0.56039,             0.33184,            0.034382,            0.011104,            0.031583,             0.00175,             0.00175,             0.00175
                  27,            0.039001,            0.014372,            0.031579,             0.46762,             0.83671,             0.55742,             0.32985,            0.034156,             0.01129,             0.03151,             0.00142,             0.00142,             0.00142
                  28,            0.036617,            0.013973,            0.031726,             0.49339,             0.84019,             0.56098,             0.33788,            0.034183,            0.011712,            0.031378,             0.00109,             0.00109,             0.00109
                  29,              0.0381,            0.014596,            0.031378,             0.47947,             0.82062,             0.56142,             0.34015,            0.033752,            0.010986,            0.031336,             0.00076,             0.00076,             0.00076
