               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027935,            0.011258,           0.0086638,             0.80496,             0.91706,             0.91363,             0.65963,            0.027045,           0.0084244,           0.0059729,            0.070375,           0.0032917,           0.0032917
                   1,            0.030189,            0.010839,             0.01075,             0.71842,             0.85332,             0.86622,             0.60854,            0.028636,           0.0086059,            0.016858,            0.040309,           0.0065594,           0.0065594
                   2,            0.035106,            0.011644,            0.011106,             0.72007,             0.87926,             0.85833,             0.48551,            0.030952,           0.0092567,            0.013136,            0.010178,           0.0097612,           0.0097612
                   3,            0.035167,            0.011534,            0.012982,             0.70013,              0.8759,             0.82879,             0.43179,            0.032249,           0.0091936,            0.013444,            0.009703,            0.009703,            0.009703
                   4,            0.036026,            0.011883,            0.014532,             0.76374,             0.90403,              0.8791,             0.49594,            0.031689,           0.0090932,           0.0087959,            0.009703,            0.009703,            0.009703
                   5,            0.036054,            0.012694,            0.013911,             0.78589,             0.88942,             0.88219,             0.56023,            0.030773,            0.012437,           0.0094887,            0.009604,            0.009604,            0.009604
                   6,            0.035977,            0.012084,            0.012336,             0.78071,             0.89661,             0.87854,             0.50741,            0.034419,           0.0090468,           0.0093502,            0.009505,            0.009505,            0.009505
                   7,            0.035373,             0.01159,            0.016806,             0.72663,             0.83372,             0.84728,             0.56247,            0.030661,            0.009658,            0.016256,            0.009406,            0.009406,            0.009406
                   8,            0.035307,            0.012188,            0.014713,             0.76762,             0.87438,             0.87115,             0.56462,            0.031119,           0.0091971,            0.010136,            0.009307,            0.009307,            0.009307
                   9,            0.035748,            0.011804,            0.015133,             0.73782,             0.90703,             0.83766,             0.55491,            0.030091,           0.0097494,            0.013112,            0.009208,            0.009208,            0.009208
                  10,            0.033662,            0.012355,            0.017061,             0.73496,             0.89578,             0.84297,             0.53786,               0.031,           0.0093107,            0.013354,            0.009109,            0.009109,            0.009109
                  11,            0.034869,            0.011883,            0.013462,             0.75659,             0.86975,             0.85683,             0.54487,            0.030174,           0.0095181,            0.012497,             0.00901,             0.00901,             0.00901
                  12,             0.03537,            0.011804,            0.015778,              0.7094,             0.83533,             0.82674,             0.50535,             0.03306,           0.0092642,            0.015398,            0.008911,            0.008911,            0.008911
                  13,            0.033609,            0.011443,            0.017078,             0.77473,             0.89022,              0.8581,             0.57243,            0.029365,           0.0096167,            0.010618,            0.008812,            0.008812,            0.008812
                  14,            0.032539,            0.012306,            0.012321,             0.74737,             0.82392,             0.83818,             0.52038,            0.031845,           0.0095821,             0.01406,            0.008713,            0.008713,            0.008713
