               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065473,            0.022756,            0.033951,             0.18696,             0.55318,              0.2026,            0.074103,            0.061223,            0.018268,            0.035157,            0.070375,           0.0032917,           0.0032917
                   1,            0.068895,            0.020443,            0.034548,             0.12579,              0.4374,             0.12776,            0.044528,            0.076976,            0.022315,            0.034955,            0.040156,           0.0064064,           0.0064064
                   2,            0.073736,            0.020692,            0.034078,             0.13919,             0.42592,             0.14006,            0.049938,            0.069359,            0.017729,            0.034557,           0.0097178,           0.0093011,           0.0093011
                   3,            0.071241,            0.020912,            0.034629,             0.15945,             0.52535,             0.17495,            0.069088,            0.062368,             0.01766,            0.034619,             0.00901,             0.00901,             0.00901
                   4,            0.069692,            0.020425,            0.034142,               0.171,             0.50162,             0.16996,            0.060625,            0.076732,            0.028964,            0.034837,             0.00901,             0.00901,             0.00901
                   5,             0.06906,            0.021178,            0.033792,             0.21292,             0.47373,             0.21174,            0.083953,            0.059565,            0.017519,            0.034772,             0.00868,             0.00868,             0.00868
                   6,            0.063848,             0.02075,            0.033719,             0.16781,             0.66248,             0.19808,            0.076692,            0.059614,            0.016901,            0.034757,             0.00835,             0.00835,             0.00835
                   7,            0.062013,            0.019195,              0.0341,             0.21381,             0.64524,              0.2654,             0.10336,            0.055324,            0.016544,            0.034715,             0.00802,             0.00802,             0.00802
                   8,            0.061194,            0.019745,            0.033484,             0.15984,             0.65664,             0.18827,            0.059423,            0.060743,            0.016155,            0.034427,             0.00769,             0.00769,             0.00769
                   9,            0.059341,            0.019315,            0.034813,             0.19931,             0.67851,             0.24519,            0.096345,            0.054499,            0.015688,             0.03459,             0.00736,             0.00736,             0.00736
                  10,            0.057084,            0.019174,            0.033415,              0.2357,             0.73006,             0.28005,             0.13177,            0.049957,            0.016018,            0.034581,             0.00703,             0.00703,             0.00703
                  11,             0.05617,            0.018618,            0.034658,             0.25212,             0.72699,             0.29459,             0.13746,                0.05,             0.01569,            0.034636,              0.0067,              0.0067,              0.0067
                  12,            0.055813,            0.018281,            0.034908,             0.24063,             0.80947,             0.28879,             0.13828,            0.048881,            0.015611,            0.034463,             0.00637,             0.00637,             0.00637
                  13,            0.052717,            0.018076,            0.033943,              0.2501,             0.78524,              0.2852,             0.13644,            0.048424,            0.015085,            0.034481,             0.00604,             0.00604,             0.00604
                  14,            0.052836,            0.018962,            0.034513,             0.24644,             0.76837,             0.28604,             0.12733,            0.050908,            0.014739,            0.034491,             0.00571,             0.00571,             0.00571
                  15,            0.052413,            0.018714,            0.034073,             0.25843,             0.79486,             0.31436,              0.1476,            0.046755,            0.014997,            0.034506,             0.00538,             0.00538,             0.00538
                  16,            0.050313,            0.017172,            0.034296,              0.2485,             0.81395,             0.30003,             0.14405,            0.046098,            0.014823,            0.034482,             0.00505,             0.00505,             0.00505
                  17,             0.04971,            0.018116,            0.034481,             0.24956,             0.80127,             0.29492,             0.13958,            0.044731,             0.01409,            0.034398,             0.00472,             0.00472,             0.00472
                  18,            0.048949,            0.017011,            0.033865,              0.2607,             0.83431,             0.29365,             0.15347,             0.04299,             0.01382,            0.034389,             0.00439,             0.00439,             0.00439
                  19,            0.048536,             0.01668,            0.034503,             0.25832,             0.87917,              0.3053,              0.1497,            0.044839,            0.013963,            0.034376,             0.00406,             0.00406,             0.00406
                  20,            0.047339,             0.01595,            0.033944,             0.25778,             0.87823,             0.31497,              0.1667,            0.042982,             0.01327,            0.034365,             0.00373,             0.00373,             0.00373
                  21,            0.045753,            0.016911,            0.033959,              0.2666,             0.85069,             0.31732,             0.17407,            0.041319,            0.013794,            0.034328,              0.0034,              0.0034,              0.0034
                  22,            0.045563,            0.016589,            0.033746,             0.26694,             0.83341,              0.3373,             0.18785,            0.040153,            0.013311,             0.03432,             0.00307,             0.00307,             0.00307
                  23,             0.04393,            0.016573,            0.034333,             0.26693,             0.86241,             0.34668,             0.19736,            0.039734,            0.013125,            0.034334,             0.00274,             0.00274,             0.00274
                  24,            0.044327,            0.016886,            0.033806,             0.26695,             0.87926,             0.34636,             0.19267,            0.039883,            0.012873,            0.034344,             0.00241,             0.00241,             0.00241
                  25,            0.043082,            0.016341,            0.033942,             0.26385,             0.86027,             0.35304,              0.1981,            0.039072,            0.013108,            0.034326,             0.00208,             0.00208,             0.00208
                  26,            0.044699,            0.015672,            0.034723,             0.26628,             0.87029,             0.35268,             0.20739,            0.038552,            0.013033,            0.034289,             0.00175,             0.00175,             0.00175
                  27,            0.043426,            0.016454,            0.033755,             0.27998,              0.8531,             0.35757,             0.20603,            0.038372,              0.0131,            0.034285,             0.00142,             0.00142,             0.00142
                  28,            0.041841,             0.01611,            0.033923,             0.26578,             0.86094,             0.34633,             0.20189,            0.038298,             0.01266,            0.034249,             0.00109,             0.00109,             0.00109
                  29,            0.042749,            0.016736,            0.033406,             0.26937,             0.87513,              0.3479,             0.20398,            0.038013,            0.012553,            0.034249,             0.00076,             0.00076,             0.00076
