               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038507,            0.014101,            0.027056,             0.43855,             0.86885,             0.58262,             0.35318,             0.03564,            0.010134,            0.027974,            0.006436,            0.006436,            0.006436
                  38,            0.038961,            0.013133,            0.026668,             0.36804,             0.23901,             0.09489,            0.038317,             0.10657,            0.045311,            0.055733,            0.006337,            0.006337,            0.006337
                  39,            0.038505,            0.012487,             0.02775,             0.49846,             0.86335,             0.64806,             0.39405,            0.034248,            0.010982,            0.024728,            0.006238,            0.006238,            0.006238
                  40,             0.03807,            0.014168,            0.027166,             0.55037,             0.85387,             0.65651,             0.39691,              0.0343,            0.010216,            0.024668,            0.006139,            0.006139,            0.006139
                  41,            0.038191,            0.013216,            0.025021,             0.52727,             0.88148,             0.65011,             0.38999,            0.034124,             0.01042,            0.024193,             0.00604,             0.00604,             0.00604
                  42,            0.037999,            0.012942,            0.024985,             0.53182,             0.85072,             0.65774,             0.40623,            0.033686,            0.011157,            0.023742,            0.005941,            0.005941,            0.005941
                  43,            0.038461,            0.012809,            0.025903,             0.51874,             0.86045,             0.63215,             0.37893,            0.033765,            0.010286,            0.024272,            0.005842,            0.005842,            0.005842
                  44,            0.035849,            0.013213,            0.025065,             0.54572,             0.84777,             0.64725,               0.398,             0.03415,             0.01026,            0.024039,            0.005743,            0.005743,            0.005743
                  45,            0.037134,              0.0136,            0.026449,             0.55122,             0.84801,             0.67151,             0.41876,            0.033792,            0.011507,            0.023835,            0.005644,            0.005644,            0.005644
                  46,            0.037885,            0.013122,            0.024169,              0.5458,             0.87754,             0.67806,             0.42154,            0.033085,             0.01001,            0.023343,            0.005545,            0.005545,            0.005545
                  47,            0.035792,            0.013444,            0.025378,             0.52587,             0.83696,             0.67019,             0.42533,            0.033462,           0.0098911,             0.02322,            0.005446,            0.005446,            0.005446
                  48,             0.03568,            0.013017,            0.025102,             0.57611,             0.83784,             0.69869,             0.43787,            0.033003,           0.0098304,            0.022801,            0.005347,            0.005347,            0.005347
                  49,            0.036261,            0.012844,            0.025151,             0.54378,             0.81546,             0.68495,              0.4255,            0.034167,           0.0099022,            0.023471,            0.005248,            0.005248,            0.005248
                  50,            0.036027,             0.01278,            0.024515,             0.59594,             0.84392,              0.7137,             0.43496,            0.033442,             0.01004,            0.022542,            0.005149,            0.005149,            0.005149
                  51,            0.036001,            0.012669,            0.024266,             0.57463,             0.81352,             0.68637,             0.44193,            0.032616,           0.0099082,            0.022251,             0.00505,             0.00505,             0.00505
                  52,            0.036611,            0.013302,            0.023187,             0.57216,             0.83315,             0.69063,             0.44751,            0.032423,            0.010119,            0.022045,            0.004951,            0.004951,            0.004951
                  53,             0.03572,            0.012556,            0.024325,             0.54733,             0.84825,             0.69835,             0.43923,            0.033007,            0.010001,            0.022214,            0.004852,            0.004852,            0.004852
                  54,            0.035851,            0.013081,            0.024559,               0.614,             0.83729,             0.72595,             0.45931,            0.033176,           0.0099427,            0.021399,            0.004753,            0.004753,            0.004753
                  55,            0.036038,            0.012838,            0.023562,             0.58013,             0.83832,             0.69864,              0.4243,            0.032778,            0.010211,            0.021753,            0.004654,            0.004654,            0.004654
                  56,            0.035312,            0.012416,            0.024637,             0.57581,             0.84557,              0.7026,             0.45587,            0.031186,           0.0097472,            0.022322,            0.004555,            0.004555,            0.004555
                  57,            0.034789,            0.013057,            0.024106,             0.53919,             0.82865,             0.68581,              0.4317,            0.032813,            0.009875,            0.023345,            0.004456,            0.004456,            0.004456
                  58,            0.035898,             0.01262,            0.023172,             0.58382,             0.82847,             0.70834,             0.45005,            0.031756,           0.0097835,            0.022129,            0.004357,            0.004357,            0.004357
                  59,            0.034735,            0.012686,            0.022943,             0.51457,             0.81597,             0.65372,             0.42431,            0.032126,            0.010203,            0.026212,            0.004258,            0.004258,            0.004258
                  60,            0.034955,            0.013651,            0.023124,             0.61501,             0.79188,             0.72114,             0.46279,            0.031773,           0.0097586,            0.021041,            0.004159,            0.004159,            0.004159
                  61,            0.035667,            0.013117,            0.022999,             0.61367,             0.85346,             0.73648,             0.47926,            0.032203,           0.0098274,            0.020428,             0.00406,             0.00406,             0.00406
                  62,            0.034879,            0.012453,            0.023964,             0.62008,              0.8598,             0.73546,             0.47947,            0.031198,           0.0098035,              0.0203,            0.003961,            0.003961,            0.003961
